Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,F1_Rank,PR_AUC_Rank
Gradient Boosting - Baseline,0.6,0.5972222222222222,0.7962962962962963,0.6825396825396826,0.759963768115942,0.853321039114266,5.0,3.0
Random Forest,0.725,0.7676767676767676,0.7037037037037037,0.7342995169082126,0.7747584541062802,0.8629923587441977,1.0,1.0
Extra Trees,0.72,0.8095238095238095,0.6296296296296297,0.7083333333333334,0.7753119967793881,0.8600555672851841,2.0,2.0
Logistic Regression,0.74,0.9242424242424242,0.5648148148148148,0.7011494252873564,0.7618760064412238,0.8491623415867025,3.0,4.0
Gradient Boosting,0.695,0.7640449438202247,0.6296296296296297,0.6903553299492385,0.7481884057971013,0.8456405552923822,4.0,5.0
