Fold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
1,0.6055045871559633,0.34782608695652173,0.2222222222222222,0.2711864406779661,0.4505327245053272,0.370779464540031
2,0.5321100917431193,0.3157894736842105,0.13636363636363635,0.19047619047619047,0.5138111888111887,0.4088148881035716
3,0.5504587155963303,0.4230769230769231,0.24444444444444444,0.30985915492957744,0.5232638888888889,0.4760073673169443
4,0.6697247706422018,0.3225806451612903,0.4,0.35714285714285715,0.5292857142857142,0.2640339659073004
5,0.5321100917431193,0.3,0.13953488372093023,0.19047619047619047,0.43992248062015504,0.3572727965944026
