Original_Feature,Importance
Traffic_Status,0.359524243636581
Temperature,0.023499315196918932
Longitude,0.023476390133389632
Inventory_Level,0.022901112936063783
User_Transaction_Amount,0.0228287983342068
Humidity,0.022408316572915282
Latitude,0.02208730533554024
Distance_From_Center,0.021429153108073716
Fleet_Load_Index_Normalized,0.020640239650144415
Utilization_Waiting_Interaction,0.020475796838184717
Customer_Value_Index,0.020366000076429542
Inventory_Demand_Gap,0.02018398051942785
Hour,0.018909258721078643
Day,0.018885035095517776
Inventory_Coverage,0.018676284371565956
Utilization_Normalized,0.018221723661468625
Pre_Dispatch_Stress_Score,0.018022556704353494
Waiting_Time,0.017970629405975064
Demand_Normalized,0.01792437500906168
Operational_Stress_Score,0.01785099375868259
Asset_Utilization,0.01785038062554664
Waiting_Normalized,0.01735447908387152
Utilization_Score,0.017330111550332233
Week_of_Year,0.0173024715795021
Fleet_Load_Index,0.01728656323899071
Asset_ID_Truck,0.01726996299917513
Month_Name,0.017105223170180157
Waiting_Score,0.016930101426231307
Demand_Forecast,0.015924890027438816
Demand_Score,0.01553619809640951
Purchase_Frequency_Band,0.012382582931528031
Month,0.01100573942403731
Time_Period,0.010663087207982258
User_Purchase_Frequency,0.010276812198430827
Day_of_Week,0.009945457063384138
Customer_Value_Segment,0.008591359406610473
Inventory_Band,0.008577479643052546
Operational_Stress_Level,0.0032468652608290405
Utilization_Band,0.0031287146078017997
Is_Weekend,0.0023564333528085226
Time_Period_Late,0.002271326460807126
Stock_Risk,0.0013822515794700639
